612325017,"一个人的书房","我读","http://traffic.libsyn.com/iread/Hallucination_09_v1.mp3","儿童不宜《生死的幻觉》【周五】第9集：生命的奥秘（下）关于因果法应","2014-02-08T18:56:47-08:00","--"
529672455,"漫步时光","NJ一念","http://play.lizhi.fm/audio//2014/02/07/9332104410737286_hd.mp3","有空来坐坐","2014-02-08T18:56:48-08:00","几年前的录音，拿出来..."
757551380,"催眠故事汇","上山微电台","http://jt.ximalaya.com/wKgDsVL1hU6hy2r8AJRA2kI0wBQ983.mp3?channel=rss&album_id=15124&track_id=1985604&uid=1210148&jt=http://fdfs.xmcdn.com/group3/M07/F1/4E/wKgDsVL1hU6hy2r8AJRA2kI0wBQ983.mp3","声音墙：《催眠故事汇》特别节目-上山访谈刘铁征","2014-02-08T18:56:49-08:00","声音墙：《催眠故事汇》特别节目-上山访谈刘铁征"
725989688,"逗逗调频","咖啡逗逗","http://play.lizhi.fm/audio//2014/02/08/9360297918202246_hd.mp3","一个人   NJ四娘","2014-02-08T18:56:50-08:00","【情感心路】..."
81412148,"香港電台：一分鐘閱讀","Radio Television Hong Kong","http://podcast.rthk.hk/podcast/media/1minreading/23_1401301240_48064.mp3","第2750-2754集","2014-02-08T18:56:52-08:00","2750. 意圖倫理和責任倫理2751. 城鎮化是中國必走的路2752. 城鎮化的負面後果2753. 土地兼併的核心問題2754. 主導人類未來的最重要發展推介書籍：2751-2754 《十億民工進城來：史上最大規模人"
736545182,"晚上十点","晚上十点podcasts","http://jt.ximalaya.com/wKgDslLnZNyiQggEAUuQM8shTYI317.mp3?channel=rss&album_id=216900&track_id=1914809&uid=4020271&jt=http://fdfs.xmcdn.com/group3/M06/DE/A1/wKgDslLnZNyiQggEAUuQM8shTYI317.mp3","周四：迎接新鲜人-练依朋【晚上十点第七十九期】","2014-02-08T18:56:54-08:00","周四：迎接新鲜人-练依朋【晚上十点第七十九期】"
757435390,"香雪文学之声","香雪文学","http://play.lizhi.fm/audio//2014/02/09/9370934935955590_hd.mp3","儿童不宜《后赤壁赋》今译","2014-02-08T18:56:55-08:00","《后赤壁赋》今译"
770580868,"小爱聊","小爱聊","http://play.lizhi.fm/audio//2014/02/05/9299546673956742_hd.mp3","奥斯卡颁奖季热门影片 之 【达拉斯买家俱乐部】","2014-02-08T18:56:56-08:00","奥斯卡颁奖季热门影片 之 【达拉斯买家俱乐部】"
721988219,"配乐散文～诗歌","千纸鹤_1971","http://play.lizhi.fm/audio//2014/02/06/9321329143427846_hd.mp3","《临水而居》 配乐散文 作者：采唐韵  朗诵：千纸鹤","2014-02-08T18:56:57-08:00","《临水而居》 作者：..."
731738426,"峰哥","峰哥","http://play.lizhi.fm/audio//2014/02/08/9368613511258502_hd.mp3","006 - 大学选系","2014-02-08T18:56:57-08:00","经济学人文章：Tho..."
763225014,"生活情感档","iblue音乐台","http://jt.ximalaya.com/wKgDslL1CPWyAJvYAHw9B_whO08205.mp3?channel=rss&album_id=2901&track_id=1984652&uid=1013698&jt=http://fdfs.xmcdn.com/group3/M07/F0/1E/wKgDslL1CPWyAJvYAHw9B_whO08205.mp3","爱是用心，不是敷衍","2014-02-08T18:56:58-08:00","爱是用心，不是敷衍"
652737266,"似水年华","珠海网络电视台","http://podcast.n21.cc/podpress_trac/feed/10122/0/20140126.mp3","儿童适宜布鲁斯史普林斯汀","2014-02-08T18:57:00-08:00","《似水年华》：布鲁斯史普林斯汀"
774949168,"自由性话题","law Wang","http://play.lizhi.fm/audio//2014/02/06/9322943513903110_hd.mp3","014 在发情的季节，相约到荷兰阿姆斯特丹","2014-02-08T18:57:00-08:00","本期我们简单的聊聊在..."
726845721,"声之韵朗诵书院","落草","http://play.lizhi.fm/audio//2014/02/07/9332528806650758_hd.mp3","鸟是树的花朵-落草朗诵","2014-02-08T18:57:01-08:00","鸟是树的花朵 作者：..."
781327210,"声音旅行@韩小暖","韩小暖","http://play.lizhi.fm/audio//2014/02/08/9368294604772742_hd.mp3","【暖文章】记得，就是最好的证明（文/辉姑娘）","2014-02-08T18:57:02-08:00","【暖文章】记得，就是最好的证明（文/辉姑娘）"
